movie_id,title,uri,genre,recommendation
19995,Avatar,http://dbpedia.org/resource/Avatar_(2009_film),Action  Adventure Fantasy  Science Fiction,Superman Returns#Man of Steel#X-Men: Days of Future Past#Jupiter Ascending#The Wolverine
285,Pirates of the Caribbean: At World's End,http://dbpedia.org/resource/Pirates_of_the_Caribbean:_At_World%27s_End,Adventure Fantasy Action,Pirates of the Caribbean: Dead Man's Chest#Pirates of the Caribbean: The Curse of the Black Pearl
206647,Spectre,http://dbpedia.org/resource/Spectre_(2015_film),Action Adventure Crime,The Dark Knight Rises
49026,The Dark Knight Rises,http://dbpedia.org/resource/The_Dark_Knight_Rises,Action Adventure Crime,Spectre
49529,John Carter,http://dbpedia.org/resource/John_Carter_(film), Action Adventure Science Fiction,Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Iron Man 3#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#TRON: Legacy#Star Trek Into Darkness#Pacific Rim#Transformers: Dark of the Moon#Star Trek Beyond#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Independence Day: Resurgence#Guardians of the Galaxy#X-Men: First Class#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
559,Spider-Man 3,http://dbpedia.org/resource/Spider-Man_3,Fantasy Action Adventure,Spider-Man 2
38757,Tangled,http://dbpedia.org/resource/Tangled,Animation Family,Home on the Range
99861,Avengers: Age of Ultron,http://dbpedia.org/resource/Avengers:_Age_of_Ultron,Action Adventure Science Fiction,The Avengers
767,Harry Potter and the Half-Blood Prince,http://dbpedia.org/resource/Harry_Potter_and_the_Half-Blood_Prince_(film),Adventure Fantasy Family,The Chronicles of Narnia: Prince Caspian#Alice in Wonderland#Oz: The Great and Powerful#The Chronicles of Narnia: The Voyage of the Dawn Treader#Harry Potter and the Goblet of Fire#Pan#The BFG#Harry Potter and the Prisoner of Azkaban#Harry Potter and the Philosopher's Stone#Harry Potter and the Chamber of Secrets
209112,Batman v Superman: Dawn of Justice,http://dbpedia.org/resource/Batman_v_Superman:_Dawn_of_Justice,Action Adventure Fantasy,Pirates of the Caribbean: At World's End#Spider-Man 3#Pirates of the Caribbean: Dead Man's Chest#Pirates of the Caribbean: On Stranger Tides#The Hobbit: The Battle of the Five Armies#The Amazing Spider-Man#Spider-Man 2#The Amazing Spider-Man 2#The Mummy: Tomb of the Dragon Emperor#The Hobbit: An Unexpected Journey#Warcraft#Thor: The Dark World#Thor#Pirates of the Caribbean: The Curse of the Black Pearl#Clash of the Titans#The 13th Warrior#The Lord of the Rings: The Fellowship of the Ring
1452,Superman Returns,http://dbpedia.org/resource/Superman_Returns,Adventure Fantasy Action Science Fiction,X-Men: Days of Future Past
10764,Quantum of Solace,http://dbpedia.org/resource/Quantum_of_Solace,Adventure Action Thriller,Skyfall#Mission: Impossible - Rogue Nation#Mission: Impossible III#Die Another Day#The World Is Not Enough#Mission: Impossible II#Dante's Peak#Tomorrow Never Dies#Speed 2: Cruise Control#Casino Royale#The Expendables 2#Mission: Impossible - Ghost Protocol#Mission: Impossible (film)
58,Pirates of the Caribbean: Dead Man's Chest,http://dbpedia.org/resource/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,Adventure Fantasy Action,Pirates of the Caribbean: At World's End#Pirates of the Caribbean: The Curse of the Black Pearl
57201,The Lone Ranger,http://dbpedia.org/resource/The_Lone_Ranger_(2013_film),Action Adventure Western,Pirates of the Caribbean: At World's End#Pirates of the Caribbean: Dead Man's Chest#Rango#Pirates of the Caribbean: The Curse of the Black Pearl#The Hunger Games: Mockingjay - Part 1
49521,Man of Steel,http://dbpedia.org/resource/Man_of_Steel_(film),Action Adventure Fantasy Science Fiction,Avatar#Superman Returns#X-Men: Days of Future Past#Jupiter Ascending#The Wolverine
2454,The Chronicles of Narnia: Prince Caspian,http://dbpedia.org/resource/The_Chronicles_of_Narnia:_Prince_Caspian,Adventure Family Fantasy,Harry Potter and the Half-Blood Prince#Alice in Wonderland#Oz: The Great and Powerful#The Chronicles of Narnia: The Voyage of the Dawn Treader#Harry Potter and the Goblet of Fire#Pan#The BFG#Harry Potter and the Prisoner of Azkaban#Harry Potter and the Philosopher's Stone#Harry Potter and the Chamber of Secrets
24428,The Avengers,http://dbpedia.org/resource/The_Avengers_(2012_film),Science Fiction Action Adventure,Avengers: Age of Ultron
1865,Pirates of the Caribbean: On Stranger Tides,http://dbpedia.org/resource/Pirates_of_the_Caribbean:_On_Stranger_Tides,Adventure Action Fantasy,Pirates of the Caribbean: At World's End#Spider-Man 3#Batman v Superman: Dawn of Justice#Pirates of the Caribbean: Dead Man's Chest#The Hobbit: The Battle of the Five Armies#The Amazing Spider-Man#Spider-Man 2#The Amazing Spider-Man 2#The Mummy: Tomb of the Dragon Emperor#The Hobbit: An Unexpected Journey#Warcraft#Thor: The Dark World#Thor#Pirates of the Caribbean: The Curse of the Black Pearl#Clash of the Titans#The 13th Warrior#The Lord of the Rings: The Fellowship of the Ring
41154,Men in Black 3,http://dbpedia.org/resource/Men_in_Black_3,Action Comedy Science Fiction,Men in Black II
122917,The Hobbit: The Battle of the Five Armies,http://dbpedia.org/resource/The_Hobbit:_The_Battle_of_the_Five_Armies,Action Adventure Fantasy,The Hobbit: An Unexpected Journey#The Lord of the Rings: The Fellowship of the Ring
1930,The Amazing Spider-Man,http://dbpedia.org/resource/The_Amazing_Spider-Man_(2012_film),Action Adventure Fantasy,The Amazing Spider-Man 2
20662,Robin Hood,http://dbpedia.org/resource/Robin_Hood_(2018_film),Action Adventure,Waterworld
57158,The Hobbit: The Desolation of Smaug,http://dbpedia.org/resource/The_Hobbit:_The_Desolation_of_Smaug,Adventure Fantasy,The Golden Compass
2268,The Golden Compass,http://dbpedia.org/resource/The_Golden_Compass_(film),Adventure Fantasy,The Hobbit: The Desolation of Smaug
254,King Kong,http://dbpedia.org/resource/King_Kong_(2005_film),Adventure Drama Action,Exodus: Gods and Kings#Life of Pi#The Huntsman: Winter's War#Gladiator
597,Titanic,http://dbpedia.org/resource/Titanic_(1997_film),Drama Romance Thriller,Avatar#Terminator 2: Judgment Day#True Lies
271110,Captain America: Civil War,http://dbpedia.org/resource/Captain_America:_Civil_War,Adventure Action Science Fiction,Captain America: The Winter Soldier
44833,Battleship,http://dbpedia.org/resource/Battleship_(film),Thriller Action Adventure Science Fiction,Jurassic World#Green Lantern#G.I. Joe: The Rise of Cobrav#The Hunger Games: Mockingjay - Part 2#Terminator Genisys#X-Men Origins: Wolverine#The Matrix Revolutions#The Matrix Reloaded#Mad Max: Fury Road#Armageddon#G.I. Joe: Retaliation#The Hunger Games: Catching Fire#The Hunger Games: Mockingjay - Part 1##The Day After Tomorrow#The Island#Planet of the Apes
135397,Jurassic World,http://dbpedia.org/resource/Jurassic_World,Action Adventure Science Fiction Thriller,Battleship#Green Lantern#G.I. Joe: The Rise of Cobrav#The Hunger Games: Mockingjay - Part 2#Terminator Genisys#X-Men Origins: Wolverine#The Matrix Revolutions#The Matrix Reloaded#Mad Max: Fury Road#Armageddon#G.I. Joe: Retaliation#The Hunger Games: Catching Fire#The Hunger Games: Mockingjay - Part 1#X2#The Day After Tomorrow#The Island#Planet of the Apes
37724,Skyfall,http://dbpedia.org/resource/Skyfall,Action Adventure Thriller,Quantum of Solace#Mission: Impossible - Rogue Nation#Mission: Impossible III#Die Another Day#The World Is Not Enough#Mission: Impossible II#Dante's Peak#Tomorrow Never Dies#Speed 2: Cruise Control#Casino Royale#The Expendables 2#Mission: Impossible - Ghost Protocol#Mission: Impossible (film)
558,Spider-Man 2,http://dbpedia.org/resource/Spider-Man_2,Action Adventure Fantasy,Spider-Man 3
68721,Iron Man 3,http://dbpedia.org/resource/Iron_Man_3,Action Adventure Science Fiction,John Carter#Avengers: Age of Ultron#The Avengers#Captain America: Civil War#Transformers: Revenge of the Fallen#Transformers: Age of Extinction#TRON: Legacy#Star Trek Into Darkness#Pacific Rim#Transformers: Dark of the Moon#Star Trek Beyond#Iron Man#Iron Man 2#Captain America: The Winter Soldier#Independence Day: Resurgence#Guardians of the Galaxy#X-Men: First Class#Transformers#Star Trek#Captain America: The First Avenger#The Incredible Hulk#Ant-Man#After Earth#Total Recall#Star Wars: Episode III - Revenge of the Sith#Star Wars: Episode II - Attack of the Clones#Star Wars: Episode I - The Phantom Menace#Ender's Game
12155,Alice in Wonderland,http://dbpedia.org/resource/Alice_in_Wonderland_(2010_film),Family Fantasy Adventure,Harry Potter and the Half-Blood Prince#The Chronicles of Narnia: Prince Caspian#Oz: The Great and Powerful#The Chronicles of Narnia: The Voyage of the Dawn Treader#Harry Potter and the Goblet of Fire#Pan#The BFG#Harry Potter and the Prisoner of Azkaban#Harry Potter and the Philosopher's Stone#Harry Potter and the Chamber of Secrets
36668,X-Men: The Last Stand,http://dbpedia.org/resource/X-Men:_The_Last_Stand,Adventure Action Science Thriller,Rush Hour 3
62211,Monsters University,http://dbpedia.org/resource/Monsters_University,Animation Family,Tangled#WALLÃ‚Â·E#Madagascar: Escape 2 Africa#Kung Fu Panda 2#Madagascar 3: Europe's Most Wanted#Turbo#Dinosaur#Home on the Range
8373,Transformers: Revenge of the Fallen,http://dbpedia.org/resource/Transformers:_Revenge_of_the_Fallen,Science Fiction Action Adventure,Transformers: Age of Extinction#Transformers: Dark of the Moon#Transformers
91314,Transformers: Age of Extinction,http://dbpedia.org/resource/Transformers:_Age_of_Extinction,Science Fiction Action Adventure,Transformers: Revenge of the Fallen#Transformers: Dark of the Moon#Transformers
